2019
iter:00000,transfer:2.19721,classifier:7.72188,heuristic:0.90479,relate:1.99994,gaussian:0.02989
iter:00100,transfer:2.09490,classifier:1.02045,heuristic:0.70194,relate:1.90415,gaussian:1.76486
iter:00200,transfer:2.04243,classifier:0.35077,heuristic:0.67630,relate:1.90934,gaussian:2.26411
iter:00300,transfer:1.98385,classifier:0.43619,heuristic:0.61073,relate:1.90704,gaussian:3.15206
iter:00400,transfer:2.06247,classifier:0.83213,heuristic:0.59863,relate:1.89911,gaussian:3.40513
iter:00500,transfer:2.09770,classifier:0.51711,heuristic:0.57741,relate:1.89713,gaussian:4.00800
iter:00600,transfer:2.03731,classifier:0.48635,heuristic:0.54309,relate:1.87592,gaussian:4.18694
iter:00700,transfer:2.09008,classifier:0.14745,heuristic:0.52752,relate:1.86790,gaussian:5.61845
iter:00800,transfer:2.22409,classifier:0.66956,heuristic:0.51186,relate:1.87289,gaussian:4.67647
iter:00900,transfer:2.03920,classifier:0.16397,heuristic:0.50500,relate:1.84985,gaussian:4.77757
iter: 00999, precision: 0.64584
iter:01000,transfer:2.07728,classifier:0.23552,heuristic:0.48473,relate:1.84205,gaussian:5.65052
iter:01100,transfer:1.90459,classifier:0.21875,heuristic:0.48294,relate:1.82821,gaussian:5.04736
iter:01200,transfer:2.08108,classifier:0.23106,heuristic:0.47870,relate:1.83317,gaussian:5.60394
iter:01300,transfer:2.01958,classifier:0.17516,heuristic:0.46877,relate:1.81995,gaussian:5.35034
iter:01400,transfer:2.01843,classifier:0.13188,heuristic:0.47716,relate:1.81772,gaussian:6.54942
iter:01500,transfer:2.13987,classifier:0.23753,heuristic:0.44656,relate:1.81760,gaussian:6.68593
iter:01600,transfer:2.02471,classifier:0.29445,heuristic:0.43651,relate:1.79734,gaussian:7.49592
iter:01700,transfer:2.24505,classifier:0.29087,heuristic:0.43520,relate:1.79055,gaussian:6.98448
iter:01800,transfer:1.98649,classifier:0.05246,heuristic:0.43464,relate:1.79161,gaussian:7.06265
iter:01900,transfer:2.05763,classifier:0.18378,heuristic:0.41197,relate:1.75653,gaussian:8.07843
iter: 01999, precision: 0.69697
iter:02000,transfer:2.03760,classifier:0.52912,heuristic:0.41757,relate:1.78335,gaussian:8.10561
iter:02100,transfer:1.93694,classifier:0.18201,heuristic:0.41803,relate:1.76467,gaussian:6.72147
iter:02200,transfer:2.03383,classifier:0.22354,heuristic:0.40644,relate:1.76077,gaussian:7.86966
iter:02300,transfer:2.06458,classifier:0.62651,heuristic:0.39852,relate:1.75726,gaussian:6.83654
iter:02400,transfer:2.08979,classifier:0.24292,heuristic:0.39242,relate:1.74237,gaussian:8.21603
iter:02500,transfer:2.22296,classifier:0.23126,heuristic:0.38167,relate:1.74544,gaussian:8.97833
iter:02600,transfer:2.04237,classifier:0.26412,heuristic:0.38002,relate:1.75027,gaussian:7.53964
iter:02700,transfer:2.10279,classifier:0.20433,heuristic:0.37999,relate:1.72307,gaussian:7.88039
iter:02800,transfer:2.09528,classifier:0.27398,heuristic:0.37280,relate:1.72517,gaussian:8.19345
iter:02900,transfer:2.27417,classifier:0.09037,heuristic:0.36609,relate:1.70629,gaussian:8.10816
iter: 02999, precision: 0.71132
iter:03000,transfer:2.11284,classifier:0.26695,heuristic:0.35534,relate:1.71090,gaussian:8.54610
iter:03100,transfer:2.18588,classifier:0.12982,heuristic:0.35620,relate:1.69791,gaussian:8.97542
iter:03200,transfer:1.97819,classifier:0.21499,heuristic:0.34712,relate:1.69218,gaussian:7.75483
